Date,confirmed,deceased,recovered,tested
2020-04-27,198.0,5.0,72.0,
2020-04-28,164.0,19.0,29.0,
2020-04-29,234.0,9.0,22.0,
2020-04-30,249.0,12.0,53.0,
2020-05-01,267.0,16.0,83.0,
2020-05-02,250.0,20.0,63.0,
2020-05-03,274.0,23.0,71.0,
2020-05-04,259.0,26.0,87.0,
2020-05-05,349.0,39.0,84.0,
2020-05-06,291.0,25.0,74.0,
2020-05-07,275.0,23.0,108.0,
2020-05-08,269.0,22.0,115.0,
2020-05-09,280.0,20.0,106.0,
2020-05-10,278.0,18.0,266.0,
2020-05-11,268.0,19.0,109.0,
2020-05-12,267.0,21.0,392.0,
2020-05-13,292.0,25.0,238.0,
2020-05-14,265.0,19.0,135.0,
2020-05-15,261.0,14.0,135.0,
2020-05-16,973.0,14.0,163.0,
2020-05-17,276.0,31.0,115.0,
2020-05-18,263.0,31.0,181.0,
2020-05-19,262.0,21.0,182.0,63813.0
2020-05-20,271.0,26.0,107.0,1656.0
2020-05-21,233.0,17.0,200.0,1491.0
2020-05-22,275.0,26.0,328.0,2331.0
2020-05-23,277.0,24.0,206.0,
2020-05-24,279.0,28.0,187.0,3272.0
2020-05-25,310.0,25.0,136.0,1014.0
2020-05-26,251.0,23.0,436.0,742.0
2020-05-27,256.0,19.0,327.0,1159.0
2020-05-28,247.0,16.0,381.0,1190.0
2020-05-29,253.0,18.0,468.0,
2020-05-30,284.0,24.0,518.0,2268.0
2020-05-31,299.0,20.0,601.0,
2020-06-01,314.0,22.0,790.0,3578.0
2020-06-02,279.0,24.0,1019.0,1699.0
2020-06-03,290.0,22.0,205.0,2491.0
2020-06-04,291.0,28.0,296.0,1988.0
2020-06-05,324.0,30.0,251.0,1694.0
2020-06-06,289.0,26.0,210.0,1615.0
2020-06-07,318.0,21.0,223.0,1853.0
2020-06-08,346.0,24.0,218.0,1601.0
2020-06-09,331.0,27.0,248.0,1731.0
2020-06-10,343.0,26.0,266.0,1606.0
2020-06-11,330.0,25.0,231.0,2002.0
2020-06-12,327.0,22.0,243.0,1621.0
2020-06-13,344.0,26.0,255.0,2239.0
2020-06-14,334.0,22.0,224.0,1620.0
2020-06-15,327.0,23.0,225.0,1480.0
2020-06-16,332.0,21.0,235.0,1480.0
2020-06-17,330.0,22.0,223.0,2297.0
2020-06-18,317.0,22.0,281.0,1890.0
2020-06-19,312.0,21.0,206.0,2027.0
2020-06-20,306.0,16.0,418.0,1744.0
2020-06-21,273.0,20.0,427.0,1848.0
2020-06-22,314.0,16.0,401.0,1371.0
2020-06-23,235.0,15.0,421.0,1928.0
2020-06-24,215.0,15.0,401.0,1791.0
2020-06-25,238.0,12.0,216.0,1537.0
2020-06-26,219.0,8.0,210.0,2007.0
2020-06-27,211.0,12.0,218.0,1847.0
2020-06-28,211.0,13.0,181.0,2099.0
2020-06-29,236.0,9.0,171.0,1368.0
2020-06-30,197.0,9.0,137.0,2242.0
2020-07-01,215.0,8.0,125.0,2357.0
2020-07-02,211.0,7.0,161.0,1881.0
2020-07-03,204.0,10.0,131.0,1831.0
2020-07-04,172.0,9.0,228.0,1573.0
2020-07-05,177.0,9.0,216.0,1875.0
2020-07-06,183.0,7.0,240.0,1044.0
2020-07-07,187.0,5.0,124.0,1590.0
2020-07-08,156.0,5.0,170.0,1707.0
2020-07-09,162.0,5.0,139.0,1623.0
2020-07-10,165.0,5.0,161.0,1415.0
2020-07-11,178.0,4.0,126.0,1430.0
2020-07-12,172.0,4.0,133.0,1669.0
2020-07-13,164.0,3.0,125.0,1120.0
2020-07-14,167.0,3.0,180.0,2162.0
2020-07-15,173.0,2.0,212.0,2012.0
2020-07-16,181.0,5.0,188.0,2879.0
2020-07-17,184.0,5.0,165.0,2964.0
2020-07-18,199.0,4.0,169.0,2051.0
2020-07-19,212.0,6.0,167.0,2816.0
2020-07-20,193.0,4.0,200.0,2556.0
2020-07-21,199.0,6.0,205.0,3007.0
2020-07-22,196.0,3.0,212.0,3097.0
2020-07-23,210.0,5.0,203.0,3694.0
2020-07-24,176.0,3.0,205.0,3162.0
2020-07-25,180.0,4.0,170.0,3032.0
2020-07-26,163.0,3.0,168.0,11563.0
2020-07-27,184.0,4.0,463.0,16273.0
2020-07-28,156.0,4.0,166.0,9137.0
2020-07-29,152.0,5.0,117.0,9654.0
